timestamp,open,low,high,close,OPENPOSITIONVALUE,VALUE,VOLUME,open_interest,SETTLEPRICE,SWAPRATE,WAPRICE,CHANGE,QTY,NUMTRADES
2023-07-14,89799.0,89795.0,90099.0,89897.0,140778702.0,1437511.0,16.0,1566,89897.0,0.0,89844.0,0.44,1.0,13
2023-07-17,90344.0,89868.0,90748.0,90748.0,142292864.0,1174892.0,13.0,1568,90748.0,0.0,90376.0,0.95,1.0,10
2023-07-18,90581.0,88377.0,90600.0,90206.0,140167692.0,3133108.0,35.0,1554,90198.0,0.0,89517.0,-0.6,1.0,26
2023-07-19,90109.0,90109.0,90698.0,90200.0,139629600.0,1804826.0,20.0,1548,90200.0,0.0,90241.0,-0.01,1.0,19
2023-07-20,89582.0,89232.0,90348.0,89642.0,138765816.0,986612.0,11.0,1548,89642.0,0.0,89692.0,-0.62,1.0,10
2023-07-21,89875.0,89047.0,89950.0,89950.0,139905284.0,1433351.0,16.0,1558,89798.0,0.0,89584.0,0.34,2.0,12
2023-07-24,90315.0,89512.0,90315.0,89700.0,140649600.0,1167247.0,13.0,1568,89700.0,0.0,89788.0,-0.28,2.0,8
2023-07-25,89332.0,89073.0,89533.0,89533.0,140029612.0,713649.0,8.0,1564,89533.0,0.0,89206.0,-0.19,1.0,6
2023-07-26,89201.0,89201.0,89524.0,89524.0,140171094.0,178725.0,2.0,1566,89509.0,0.0,89363.0,-0.01,1.0,2
2023-07-27,89380.0,89380.0,89580.0,89580.0,140461440.0,357779.0,4.0,1568,89580.0,0.0,89445.0,0.06,1.0,4
2023-07-28,89121.0,89121.0,90879.0,90879.0,142198784.0,1532408.0,17.0,1568,90688.0,0.0,90142.0,1.45,1.0,17
2023-07-31,90879.0,90391.0,90884.0,90764.0,148300206.0,6255226.0,69.0,1634,90759.0,0.0,90655.0,-0.13,2.0,41
2023-08-01,90560.0,90278.0,92096.0,91746.0,150279948.0,10154204.0,111.0,1638,91746.0,0.0,91479.0,1.08,1.0,78
2023-08-02,91750.0,91520.0,93158.0,92550.0,152926160.0,4981132.0,54.0,1648,92795.0,0.0,92243.0,0.88,1.0,40
2023-08-03,93696.0,91805.0,93696.0,92951.0,155228170.0,9180566.0,99.0,1670,92951.0,0.0,92733.0,0.43,1.0,78
2023-08-04,93300.0,93001.0,94326.0,93890.0,155857400.0,2807330.0,30.0,1660,93890.0,0.0,93578.0,1.01,1.0,29
